"id","DomainName","CurrentStatus","RDAPStatusCode","updatedAt"
401,"a4",2,403,NULL
402,"a5",2,403,NULL
403,"a6",2,403,NULL
404,"a7",2,403,NULL
405,"a8",2,403,NULL
406,"a9",2,403,NULL
407,"aa",2,403,NULL
408,"ab",2,403,NULL
409,"ac",2,403,NULL
410,"ad",2,403,NULL
411,"ae",2,403,NULL
412,"af",2,403,NULL
413,"ag",2,403,NULL
414,"ah",2,403,NULL
415,"ai",2,403,NULL
416,"aj",2,403,NULL
417,"ak",2,403,NULL
418,"al",2,403,NULL
419,"am",2,403,NULL
420,"an",2,403,NULL
421,"ao",2,403,NULL
422,"ap",2,403,NULL
423,"aq",2,403,NULL
424,"ar",2,403,NULL
425,"as",2,403,NULL
426,"at",2,403,NULL
427,"au",2,403,NULL
428,"av",2,403,NULL
429,"aw",2,403,NULL
430,"ax",2,403,NULL
431,"ay",2,403,NULL
432,"az",2,403,NULL
433,"b0",2,403,NULL
434,"b1",2,403,NULL
435,"b2",2,403,NULL
436,"b3",2,403,NULL
437,"b4",2,403,NULL
438,"b5",2,403,NULL
439,"b6",2,403,NULL
440,"b7",2,403,NULL
441,"b8",2,403,NULL
442,"b9",2,403,NULL
443,"ba",2,403,NULL
444,"bb",2,403,NULL
445,"bc",2,403,NULL
446,"bd",2,403,NULL
447,"be",2,403,NULL
448,"bf",2,403,NULL
449,"bg",2,403,NULL
450,"bh",2,403,NULL
451,"bi",2,403,NULL
452,"bj",2,403,NULL
453,"bk",2,403,NULL
454,"bl",2,403,NULL
455,"bm",2,403,NULL
456,"bn",2,403,NULL
457,"bo",2,403,NULL
458,"bp",2,403,NULL
459,"bq",2,403,NULL
460,"br",2,403,NULL
461,"bs",2,403,NULL
462,"bt",2,403,NULL
463,"bu",2,403,NULL
464,"bv",2,403,NULL
465,"bw",2,403,NULL
466,"bx",2,403,NULL
467,"by",2,403,NULL
468,"bz",2,403,NULL
469,"c0",2,403,NULL
470,"c1",2,403,NULL
471,"c2",2,403,NULL
472,"c3",2,403,NULL
473,"c4",2,403,NULL
474,"c5",2,403,NULL
475,"c6",2,403,NULL
476,"c7",2,403,NULL
477,"c8",2,403,NULL
478,"c9",2,403,NULL
479,"ca",2,403,NULL
480,"cb",2,403,NULL
481,"cc",2,403,NULL
482,"cd",2,403,NULL
483,"ce",2,403,NULL
484,"cf",2,403,NULL
485,"cg",2,403,NULL
486,"ch",2,403,NULL
487,"ci",2,403,NULL
488,"cj",2,403,NULL
489,"ck",2,403,NULL
490,"cl",2,403,NULL
491,"cm",2,403,NULL
492,"cn",2,403,NULL
493,"co",2,403,NULL
494,"cp",2,403,NULL
495,"cq",2,403,NULL
496,"cr",2,403,NULL
497,"cs",2,403,NULL
498,"ct",2,403,NULL
499,"cu",1,404,"2025-10-29 07:44:49"
500,"cv",2,200,"2025-10-29 07:44:51"
501,"cw",2,200,"2025-10-29 07:44:52"
502,"cx",1,404,"2025-10-29 07:44:53"
503,"cy",1,404,"2025-10-29 07:44:54"
504,"cz",1,404,"2025-10-29 07:44:55"
505,"d0",1,404,"2025-10-29 07:44:57"
506,"d1",2,200,"2025-10-29 07:44:58"
507,"d2",1,404,"2025-10-29 07:44:59"
508,"d3",1,404,"2025-10-29 07:45:00"
509,"d4",1,404,"2025-10-29 07:45:01"
510,"d5",1,404,"2025-10-29 07:45:02"
511,"d6",1,404,"2025-10-29 07:45:04"
512,"d7",2,200,"2025-10-29 07:45:05"
513,"d8",2,200,"2025-10-29 07:45:06"
514,"d9",1,404,"2025-10-29 07:45:07"
515,"da",1,404,"2025-10-29 07:45:08"
516,"db",1,404,"2025-10-29 07:45:09"
517,"dc",2,200,"2025-10-29 07:45:11"
