"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
179,"2025-11-02 16:00:37+00","d8",2,200
180,"2025-11-02 17:00:30+00","d9",2,200
181,"2025-11-02 17:00:30+00","ea",2,200
182,"2025-11-02 17:00:31+00","eb",2,200
183,"2025-11-02 17:00:32+00","ec",1,404
184,"2025-11-02 17:00:33+00","ed",2,200
185,"2025-11-02 17:00:34+00","ee",2,200
186,"2025-11-02 17:00:35+00","ef",1,404
187,"2025-11-02 17:00:35+00","eg",2,200
188,"2025-11-02 17:45:30+00","eh",1,404
189,"2025-11-02 17:45:30+00","ei",2,200
190,"2025-11-02 17:45:31+00","ej",2,200
191,"2025-11-02 17:45:31+00","ek",2,200
192,"2025-11-02 17:45:32+00","el",1,404
193,"2025-11-02 18:00:36+00","em",2,200
194,"2025-11-02 18:00:43+00","en",2,200
195,"2025-11-02 18:00:47+00","eo",2,200
196,"2025-11-02 18:00:48+00","ep",1,404
197,"2025-11-02 18:00:48+00","eq",2,200
198,"2025-11-02 18:00:49+00","er",2,200
199,"2025-11-02 18:45:30+00","es",2,200
200,"2025-11-02 18:45:30+00","et",2,200
201,"2025-11-02 18:45:31+00","eu",1,404
202,"2025-11-02 18:45:31+00","ev",2,200
203,"2025-11-02 18:45:32+00","ew",1,404
204,"2025-11-02 18:45:32+00","ex",2,200
205,"2025-11-02 18:45:39+00","ey",1,404
206,"2025-11-02 18:45:40+00","ez",2,200
207,"2025-11-02 18:45:40+00","e0",1,404
208,"2025-11-02 18:45:41+00","e1",1,404
209,"2025-11-02 18:45:41+00","e2",2,200
210,"2025-11-02 18:45:42+00","e3",2,200
211,"2025-11-02 18:45:42+00","e4",1,404
212,"2025-11-02 18:45:43+00","e5",1,404
213,"2025-11-02 18:45:43+00","e6",1,404
214,"2025-11-02 18:45:44+00","e7",1,404
215,"2025-11-02 19:00:30+00","e8",2,200
216,"2025-11-02 19:00:30+00","e9",1,404
217,"2025-11-02 19:00:31+00","fa",1,404
218,"2025-11-02 19:00:31+00","fb",1,404
219,"2025-11-02 19:00:32+00","fc",2,200
220,"2025-11-02 19:00:32+00","fd",2,200
221,"2025-11-02 19:00:33+00","fe",1,404
222,"2025-11-02 19:00:33+00","ff",2,200
223,"2025-11-02 19:00:34+00","fg",2,200
224,"2025-11-02 19:45:30+00","fh",2,200
225,"2025-11-02 19:45:31+00","fi",2,200
226,"2025-11-02 19:45:33+00","fj",1,404
227,"2025-11-02 19:45:34+00","fk",1,404
228,"2025-11-02 19:45:35+00","fl",1,404
229,"2025-11-02 19:45:36+00","fm",2,200
230,"2025-11-02 19:45:37+00","fn",2,200
231,"2025-11-02 19:45:38+00","fo",2,200
232,"2025-11-02 19:45:39+00","fp",2,200
233,"2025-11-02 19:45:40+00","fq",2,200
234,"2025-11-02 19:45:41+00","fr",2,200
235,"2025-11-02 20:00:30+00","fs",1,404
236,"2025-11-02 20:00:36+00","ft",1,404
237,"2025-11-02 20:00:37+00","fu",2,200
238,"2025-11-02 20:00:38+00","fv",2,200
239,"2025-11-02 20:00:39+00","fw",1,404
240,"2025-11-02 20:00:39+00","fx",2,200
241,"2025-11-02 20:00:40+00","fy",1,404
242,"2025-11-02 20:00:41+00","fz",1,404
243,"2025-11-02 20:00:42+00","f0",2,200
244,"2025-11-02 20:00:42+00","f1",2,200
245,"2025-11-02 20:45:36+00","f2",1,404
246,"2025-11-02 20:45:36+00","f3",2,200
247,"2025-11-02 20:45:37+00","f4",2,200
248,"2025-11-02 20:45:38+00","f5",2,200
249,"2025-11-02 20:45:38+00","f6",1,404
250,"2025-11-02 20:45:38+00","f7",2,200
251,"2025-11-02 20:45:39+00","f8",2,200
252,"2025-11-02 20:45:40+00","f9",2,200
253,"2025-11-02 20:45:40+00","ga",2,200
254,"2025-11-02 20:45:40+00","gb",2,200
255,"2025-11-02 21:00:30+00","gc",2,200
256,"2025-11-02 21:00:30+00","gd",2,200
257,"2025-11-02 21:00:31+00","ge",2,200
258,"2025-11-02 21:00:32+00","gf",2,200
259,"2025-11-02 21:00:33+00","gg",2,200
260,"2025-11-02 21:00:34+00","gh",2,200
261,"2025-11-02 21:00:34+00","gi",1,404
262,"2025-11-02 21:00:35+00","gj",2,200
263,"2025-11-02 21:00:36+00","gk",1,404
264,"2025-11-02 21:45:30+00","gl",2,200
265,"2025-11-02 21:45:30+00","gm",2,200
266,"2025-11-02 21:45:31+00","gn",2,200
267,"2025-11-02 21:45:32+00","go",2,200
268,"2025-11-02 21:45:32+00","gp",2,200
269,"2025-11-02 22:00:30+00","gq",1,404
270,"2025-11-02 22:00:36+00","gr",2,200
271,"2025-11-02 22:00:43+00","gs",2,200
272,"2025-11-02 22:00:43+00","gt",2,200
273,"2025-11-02 22:00:44+00","gu",1,404
274,"2025-11-02 22:45:30+00","gv",2,200
275,"2025-11-02 22:45:30+00","gw",2,200
276,"2025-11-02 22:45:34+00","gx",2,200
277,"2025-11-02 22:45:35+00","gy",1,404
278,"2025-11-02 22:45:35+00","gz",2,200
279,"2025-11-02 22:45:36+00","g0",1,404
280,"2025-11-02 22:45:36+00","g1",1,404
281,"2025-11-02 22:45:37+00","g2",2,200
282,"2025-11-02 22:45:37+00","g3",2,200
283,"2025-11-02 22:45:38+00","g4",1,404
284,"2025-11-02 22:45:38+00","g5",1,404
285,"2025-11-02 22:45:39+00","g6",2,200
286,"2025-11-02 22:45:39+00","g7",1,404
287,"2025-11-02 22:45:40+00","g8",2,200
288,"2025-11-02 22:45:40+00","g9",2,200
289,"2025-11-02 23:00:36+00","ha",1,404
290,"2025-11-02 23:00:36+00","hb",2,200
291,"2025-11-02 23:00:37+00","hc",2,200
292,"2025-11-02 23:00:38+00","hd",2,200
293,"2025-11-02 23:45:30+00","he",2,200
294,"2025-11-02 23:45:31+00","hf",2,200
295,"2025-11-02 23:45:31+00","hg",2,200
296,"2025-11-02 23:45:32+00","hh",2,200
297,"2025-11-02 23:45:32+00","hi",2,200
298,"2025-11-02 23:45:33+00","hj",2,200
299,"2025-11-02 23:45:33+00","hk",2,200
300,"2025-11-02 23:45:34+00","hl",2,200
301,"2025-11-02 23:45:34+00","hm",1,404
302,"2025-11-02 23:45:35+00","hn",1,404
303,"2025-11-03 00:00:30+00","ho",1,404
304,"2025-11-03 00:00:31+00","hp",2,200
305,"2025-11-03 00:00:31+00","hq",2,200
306,"2025-11-03 00:00:32+00","hr",2,200
307,"2025-11-03 00:00:33+00","hs",2,200
308,"2025-11-03 00:00:34+00","ht",2,200
309,"2025-11-03 00:00:35+00","hu",1,404
310,"2025-11-03 00:00:36+00","hv",1,404
311,"2025-11-03 00:00:36+00","hw",2,200
312,"2025-11-03 00:00:37+00","hx",2,200
313,"2025-11-03 00:45:36+00","hy",2,200
314,"2025-11-03 00:45:43+00","hz",2,200
315,"2025-11-03 00:45:43+00","h0",1,404
316,"2025-11-03 00:45:44+00","h1",2,200
317,"2025-11-03 00:45:44+00","h2",2,200
318,"2025-11-03 00:45:45+00","h3",2,200
319,"2025-11-03 00:45:45+00","h4",2,200
320,"2025-11-03 00:46:50+00","h5",2,200
321,"2025-11-03 00:46:51+00","h6",2,200
322,"2025-11-03 00:46:51+00","h7",2,200
323,"2025-11-03 00:46:52+00","h8",2,200
324,"2025-11-03 00:46:52+00","h9",2,200
325,"2025-11-03 01:00:30+00","ia",2,200
326,"2025-11-03 01:00:31+00","ib",2,200
327,"2025-11-03 01:00:31+00","ic",1,404
328,"2025-11-03 01:00:32+00","id",2,200
329,"2025-11-03 01:00:33+00","ie",1,404
330,"2025-11-03 01:00:33+00","if",2,200
331,"2025-11-03 01:00:34+00","ig",2,200
332,"2025-11-03 01:00:35+00","ih",1,404
333,"2025-11-03 01:00:35+00","ii",2,200
334,"2025-11-03 01:00:36+00","ij",1,404
335,"2025-11-03 01:00:37+00","ik",2,200
336,"2025-11-03 01:45:30+00","il",1,404
337,"2025-11-03 02:00:30+00","im",2,200
338,"2025-11-03 02:00:31+00","in",2,200
339,"2025-11-03 02:00:31+00","io",1,404
340,"2025-11-03 02:00:32+00","ip",2,200
341,"2025-11-03 02:00:33+00","iq",2,200
342,"2025-11-03 02:00:34+00","ir",2,200
343,"2025-11-03 02:00:34+00","is",2,200
344,"2025-11-03 03:00:30+00","it",2,200
345,"2025-11-03 03:00:31+00","iu",2,200
346,"2025-11-03 03:00:31+00","iv",1,404
347,"2025-11-03 03:00:32+00","iw",2,200
348,"2025-11-03 03:00:32+00","ix",1,404
349,"2025-11-03 03:00:33+00","iy",1,404
350,"2025-11-03 03:00:34+00","iz",2,200
351,"2025-11-03 03:00:34+00","i0",1,404
352,"2025-11-03 03:00:35+00","i1",1,404
353,"2025-11-03 04:00:30+00","i2",1,404
354,"2025-11-03 04:00:31+00","i3",2,200
355,"2025-11-03 04:00:31+00","i4",1,404
356,"2025-11-03 04:00:32+00","i5",2,200
357,"2025-11-03 04:00:32+00","i6",1,404
358,"2025-11-03 04:00:33+00","i7",2,200
359,"2025-11-03 04:00:33+00","i8",2,200
360,"2025-11-03 04:00:34+00","i9",2,200
361,"2025-11-03 04:00:47+00","ja",1,404
362,"2025-11-03 04:00:47+00","jb",2,200
363,"2025-11-03 04:00:48+00","jc",2,200
364,"2025-11-03 04:00:48+00","jd",2,200
365,"2025-11-03 05:00:36+00","je",1,404
366,"2025-11-03 05:45:30+00","jf",2,200
367,"2025-11-03 05:45:31+00","jg",2,200
368,"2025-11-03 05:45:32+00","jh",1,404
369,"2025-11-03 05:45:32+00","ji",1,404
370,"2025-11-03 05:45:33+00","jj",2,200
371,"2025-11-03 05:45:33+00","jk",2,200
372,"2025-11-03 05:45:34+00","jl",2,200
373,"2025-11-03 05:45:34+00","jm",1,404
374,"2025-11-03 05:45:35+00","jn",1,404
375,"2025-11-03 05:45:38+00","jo",2,200
376,"2025-11-03 05:45:38+00","jp",2,200
377,"2025-11-03 05:45:45+00","jq",1,404
378,"2025-11-03 05:45:45+00","jr",2,200
379,"2025-11-03 05:45:46+00","js",2,200
380,"2025-11-03 05:45:46+00","jt",2,200
381,"2025-11-03 05:45:47+00","ju",1,404
382,"2025-11-03 05:45:47+00","jv",1,404
383,"2025-11-03 05:45:48+00","jw",2,200
384,"2025-11-03 05:45:48+00","jx",2,200
385,"2025-11-03 06:45:30+00","jy",2,200
386,"2025-11-03 06:45:30+00","jz",2,200
387,"2025-11-03 06:45:31+00","j0",1,404
388,"2025-11-03 06:45:31+00","j1",2,200
389,"2025-11-03 06:45:32+00","j2",2,200
390,"2025-11-03 06:45:33+00","j3",2,200
391,"2025-11-03 06:45:34+00","j4",1,404
392,"2025-11-03 06:45:34+00","j5",2,200
393,"2025-11-03 06:45:35+00","j6",2,200
394,"2025-11-03 06:45:35+00","j7",2,200
395,"2025-11-03 07:00:30+00","j8",2,200
396,"2025-11-03 07:45:30+00","j9",2,200
397,"2025-11-03 07:45:30+00","ka",2,200
398,"2025-11-03 07:45:31+00","kb",1,404
399,"2025-11-03 07:45:31+00","kc",2,200
400,"2025-11-03 07:45:32+00","kd",2,200
401,"2025-11-03 07:45:33+00","ke",1,404
402,"2025-11-03 07:45:33+00","kf",1,404
403,"2025-11-03 07:45:34+00","kg",2,200
404,"2025-11-03 07:45:34+00","kh",2,200
405,"2025-11-03 07:45:35+00","ki",2,200
406,"2025-11-03 07:45:35+00","kj",2,200
407,"2025-11-03 07:45:39+00","kk",2,200
408,"2025-11-03 07:45:39+00","kl",2,200
409,"2025-11-03 07:45:46+00","km",2,200
410,"2025-11-03 07:45:46+00","kn",2,200
411,"2025-11-03 07:45:47+00","ko",2,200
412,"2025-11-03 07:45:47+00","kp",1,404
413,"2025-11-03 07:45:48+00","kq",1,404
414,"2025-11-03 07:45:48+00","kr",2,200
415,"2025-11-03 07:45:49+00","ks",2,200
416,"2025-11-03 07:45:49+00","kt",2,200
417,"2025-11-03 07:45:50+00","ku",2,200
418,"2025-11-03 07:45:50+00","kv",1,404
419,"2025-11-03 07:45:51+00","kw",2,200
420,"2025-11-03 07:45:51+00","kx",2,200
421,"2025-11-03 07:45:52+00","ky",2,200
422,"2025-11-03 07:45:52+00","kz",1,404
423,"2025-11-03 07:45:53+00","k0",1,404
424,"2025-11-03 07:45:53+00","k1",2,200
425,"2025-11-03 07:46:26+00","k2",2,200
426,"2025-11-03 07:46:27+00","k3",2,200
427,"2025-11-03 07:46:28+00","k4",1,404
428,"2025-11-03 07:46:28+00","k5",1,404
429,"2025-11-03 07:46:29+00","k6",2,200
430,"2025-11-03 07:46:35+00","k7",2,200
431,"2025-11-03 07:46:36+00","k8",2,200
432,"2025-11-03 07:46:36+00","k9",2,200
433,"2025-11-03 07:46:37+00","la",2,200
434,"2025-11-03 07:46:37+00","lb",2,200
435,"2025-11-03 07:46:38+00","lc",2,200
436,"2025-11-03 07:46:38+00","ld",2,200
437,"2025-11-03 07:46:39+00","le",2,200
438,"2025-11-03 07:46:39+00","lf",1,404
439,"2025-11-03 07:46:40+00","lg",2,200
440,"2025-11-03 08:00:36+00","lh",1,404
441,"2025-11-03 08:00:36+00","li",2,200
442,"2025-11-03 08:00:37+00","lj",1,404
443,"2025-11-03 08:45:30+00","lk",2,200
444,"2025-11-03 08:45:31+00","ll",2,200
445,"2025-11-03 08:45:32+00","lm",2,200
446,"2025-11-03 08:45:34+00","ln",2,200
447,"2025-11-03 08:45:35+00","lo",2,200
448,"2025-11-03 08:45:36+00","lp",2,200
449,"2025-11-03 08:45:37+00","lq",1,404
450,"2025-11-03 08:45:38+00","lr",2,200
451,"2025-11-03 08:45:39+00","ls",2,200
452,"2025-11-03 09:00:30+00","lt",2,200
453,"2025-11-03 09:00:30+00","lu",2,200
454,"2025-11-03 09:00:31+00","lv",2,200
455,"2025-11-03 09:00:32+00","lw",2,200
456,"2025-11-03 09:00:32+00","lx",2,200
457,"2025-11-03 09:00:33+00","ly",2,200
458,"2025-11-03 09:00:33+00","lz",2,200
459,"2025-11-03 09:00:40+00","l0",2,200
460,"2025-11-03 09:00:40+00","l1",2,200
461,"2025-11-03 09:00:41+00","l2",2,200
462,"2025-11-03 09:00:42+00","l3",1,404
463,"2025-11-03 09:00:42+00","l4",1,404
464,"2025-11-03 09:45:30+00","l5",1,404
465,"2025-11-03 09:45:30+00","l6",1,404
466,"2025-11-03 09:45:31+00","l7",1,404
467,"2025-11-03 09:45:31+00","l8",1,404
468,"2025-11-03 09:45:32+00","l9",1,404
469,"2025-11-03 10:00:30+00","ma",2,200
470,"2025-11-03 10:00:31+00","mb",1,404
471,"2025-11-03 10:00:31+00","mc",2,200
472,"2025-11-03 10:00:32+00","md",2,200
473,"2025-11-03 10:00:47+00","me",2,200
474,"2025-11-03 10:00:48+00","mf",1,404
475,"2025-11-03 10:00:49+00","mg",2,200
476,"2025-11-03 10:00:49+00","mh",2,200
477,"2025-11-03 10:00:50+00","mi",2,200
478,"2025-11-03 10:02:10+00","mj",2,200
479,"2025-11-03 10:02:10+00","mk",2,200
480,"2025-11-03 10:02:11+00","ml",1,404
481,"2025-11-03 10:02:12+00","mm",2,200
482,"2025-11-03 10:02:13+00","mn",2,200
483,"2025-11-03 10:02:13+00","mo",2,200
484,"2025-11-03 10:02:14+00","mp",2,200
485,"2025-11-03 10:02:14+00","mq",2,200
486,"2025-11-03 10:02:15+00","mr",2,200
487,"2025-11-03 10:02:15+00","ms",2,200
488,"2025-11-03 10:45:30+00","mt",2,200
489,"2025-11-03 10:45:30+00","mu",2,200
490,"2025-11-03 10:45:31+00","mv",2,200
491,"2025-11-03 10:45:31+00","mw",2,200
492,"2025-11-03 10:45:32+00","mx",2,200
493,"2025-11-03 10:45:32+00","my",2,200
494,"2025-11-03 10:45:37+00","mz",2,200
495,"2025-11-03 10:45:38+00","m0",2,200
496,"2025-11-03 10:45:38+00","m1",2,200
497,"2025-11-03 10:45:39+00","m2",2,200
498,"2025-11-03 10:45:39+00","m3",2,200
499,"2025-11-03 10:45:40+00","m4",2,200
500,"2025-11-03 10:45:40+00","m5",2,200
501,"2025-11-03 10:45:41+00","m6",1,404
502,"2025-11-03 10:45:41+00","m7",2,200
503,"2025-11-03 10:45:42+00","m8",2,200
504,"2025-11-03 10:45:55+00","m9",1,404
505,"2025-11-03 10:45:55+00","na",2,200
506,"2025-11-03 10:45:56+00","nb",2,200
507,"2025-11-03 10:45:56+00","nc",2,200
508,"2025-11-03 10:45:57+00","nd",2,200
509,"2025-11-03 10:45:57+00","ne",2,200
510,"2025-11-03 10:45:58+00","nf",2,200
511,"2025-11-03 10:45:58+00","ng",2,200
512,"2025-11-03 10:45:59+00","nh",2,200
513,"2025-11-03 11:00:31+00","ni",2,200
514,"2025-11-03 11:00:32+00","nj",1,404
515,"2025-11-03 11:00:32+00","nk",1,404
516,"2025-11-03 11:00:32+00","nl",2,200
517,"2025-11-03 11:00:34+00","nm",1,404
518,"2025-11-03 11:00:34+00","nn",2,200
519,"2025-11-03 11:00:35+00","no",1,404
520,"2025-11-03 11:00:36+00","np",2,200
521,"2025-11-03 11:00:37+00","nq",1,404
522,"2025-11-03 11:45:30+00","nr",2,200
523,"2025-11-03 11:45:36+00","ns",2,200
524,"2025-11-03 11:45:47+00","nt",2,200
525,"2025-11-03 11:45:48+00","nu",2,200
526,"2025-11-03 11:45:49+00","nv",2,200
527,"2025-11-03 11:45:49+00","nw",2,200
528,"2025-11-03 11:45:50+00","nx",2,200
529,"2025-11-03 11:45:50+00","ny",2,200
530,"2025-11-03 12:00:33+00","nz",2,200
531,"2025-11-03 12:00:33+00","n0",1,404
532,"2025-11-03 12:00:34+00","n1",2,200
