"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
307,NULL,"hs",2,200
308,NULL,"ht",2,200
309,NULL,"hu",2,200
310,NULL,"hv",2,200
311,NULL,"hw",2,200
312,NULL,"hx",2,200
313,NULL,"hy",2,200
314,NULL,"hz",2,200
315,NULL,"h0",2,200
316,NULL,"h1",2,200
317,NULL,"h2",2,200
318,NULL,"h3",2,200
319,NULL,"h4",2,200
320,NULL,"h5",2,200
321,NULL,"h6",2,200
322,NULL,"h7",2,200
323,NULL,"h8",2,200
324,NULL,"h9",2,200
325,NULL,"ia",2,200
326,NULL,"ib",2,200
327,NULL,"ic",2,200
328,NULL,"id",2,200
329,NULL,"ie",2,200
330,NULL,"if",2,200
331,NULL,"ig",2,200
332,NULL,"ih",2,200
333,NULL,"ii",2,200
334,NULL,"ij",2,200
335,NULL,"ik",2,200
336,NULL,"il",2,200
337,NULL,"im",2,200
338,NULL,"in",2,200
339,NULL,"io",2,200
340,NULL,"ip",2,200
341,NULL,"iq",2,200
342,NULL,"ir",2,200
343,NULL,"is",2,200
344,NULL,"it",2,200
345,NULL,"iu",2,200
346,NULL,"iv",2,200
347,NULL,"iw",2,200
348,NULL,"ix",2,200
349,NULL,"iy",2,200
350,NULL,"iz",2,200
351,NULL,"i0",2,200
352,NULL,"i1",2,200
353,NULL,"i2",2,200
354,NULL,"i3",2,200
355,NULL,"i4",2,200
356,NULL,"i5",2,200
357,NULL,"i6",2,200
358,NULL,"i7",2,200
359,NULL,"i8",2,200
360,NULL,"i9",2,200
361,NULL,"ja",2,200
362,NULL,"jb",2,200
363,NULL,"jc",2,200
364,NULL,"jd",2,200
365,NULL,"je",2,200
366,NULL,"jf",2,200
367,NULL,"jg",2,200
368,NULL,"jh",2,200
369,NULL,"ji",2,200
370,NULL,"jj",2,200
371,NULL,"jk",2,200
372,NULL,"jl",2,200
373,NULL,"jm",2,200
374,NULL,"jn",2,200
375,NULL,"jo",2,200
376,NULL,"jp",2,200
377,NULL,"jq",2,200
378,NULL,"jr",2,200
379,NULL,"js",2,200
380,NULL,"jt",2,200
381,NULL,"ju",2,200
382,NULL,"jv",2,200
383,NULL,"jw",2,200
384,NULL,"jx",2,200
385,NULL,"jy",2,200
386,NULL,"jz",2,200
387,NULL,"j0",2,200
388,NULL,"j1",2,200
389,NULL,"j2",2,200
390,NULL,"j3",2,200
391,NULL,"j4",2,200
392,NULL,"j5",2,200
393,NULL,"j6",2,200
394,NULL,"j7",2,200
395,NULL,"j8",2,200
396,NULL,"j9",2,200
397,NULL,"ka",2,200
398,NULL,"kb",2,200
399,NULL,"kc",2,200
400,NULL,"kd",2,200
401,NULL,"ke",2,200
402,NULL,"kf",2,200
403,NULL,"kg",2,200
404,NULL,"kh",2,200
405,NULL,"ki",2,200
406,NULL,"kj",2,200
407,NULL,"kk",2,200
408,NULL,"kl",2,200
409,NULL,"km",2,200
410,NULL,"kn",2,200
411,NULL,"ko",2,200
412,NULL,"kp",2,200
413,NULL,"kq",2,200
414,NULL,"kr",2,200
415,NULL,"ks",2,200
416,NULL,"kt",2,200
417,NULL,"ku",2,200
418,NULL,"kv",2,200
419,NULL,"kw",2,200
420,NULL,"kx",2,200
421,NULL,"ky",2,200
422,NULL,"kz",2,200
423,NULL,"k0",2,200
424,NULL,"k1",2,200
425,NULL,"k2",2,200
426,NULL,"k3",2,200
427,NULL,"k4",2,200
428,NULL,"k5",2,200
429,NULL,"k6",2,200
430,NULL,"k7",2,200
431,NULL,"k8",2,200
432,NULL,"k9",2,200
433,NULL,"la",2,200
434,NULL,"lb",2,200
435,NULL,"lc",2,200
436,NULL,"ld",2,200
